ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
1937,1937,hjeti,that1632,false,expert,Chacon2018,-   -   -   -   -   h   j   e   t   i   -   -,,Chacon2018
1938,1938,hjɛtahã,that1632,false,expert,Chacon2018,# N A M E ?,,Chacon2018
1939,1939,hãɸitɛ,that1633,false,expert,Chacon2018,,,Chacon2018
1940,1940,liara,that1690,false,expert,Chacon2018,,,Chacon2018
1941,1941,naːthe,that1633,false,expert,Chacon2018,,,Chacon2018
1942,1942,kuakalienaha,that1632,false,expert,Chacon2018,k   u   a   k   a   l   i   e   n   a   h   a,,Chacon2018
1943,1943,tiːa,that1695,false,expert,Chacon2018,,,Chacon2018
1944,1944,ɛtahɐ̃,that1632,false,expert,Chacon2018,# N A M E ?,,Chacon2018
1945,1945,adisiɐnahɐ̃,there1649,false,expert,Chacon2018,,,Chacon2018
1946,1946,aːtahã,there1642,false,expert,Chacon2018,,,Chacon2018
1947,1947,atahɐ̃,there1642,false,expert,Chacon2018,,,Chacon2018
1948,1948,anahã,there1642,false,expert,Chacon2018,,,Chacon2018
1949,1949,aːteahi,there1642,false,expert,Chacon2018,,,Chacon2018
1950,1950,hanɛsɛ̃m̥adenawa,there1650,false,expert,Chacon2018,,,Chacon2018
1951,1951,ahareka,there1647,false,expert,Chacon2018,a   h   a   ɾ   e   k   a,,Chacon2018
1952,1952,aːthe,there1642,false,expert,Chacon2018,,,Chacon2018
1953,1953,jakaːle,there1647,false,expert,Chacon2018,# N A M E ?,,Chacon2018
1954,1954,ajakathe,there1647,false,expert,Chacon2018,a   j   a   k   a   t ʰ   e,,Chacon2018
1955,1955,witahɐ̃,there1642,false,expert,Chacon2018,,,Chacon2018
1956,1956,hamahɐ̃,they1655,false,expert,Chacon2018,,,Chacon2018
1957,1957,hâː,they1653,false,expert,Chacon2018,,,Chacon2018
1958,1958,háːtahɐ̃,they1655,false,expert,Chacon2018,,,Chacon2018
1959,1959,nʰaː,they1651,false,expert,Chacon2018,,,Chacon2018
1960,1960,hã,they1653,false,expert,Chacon2018,,,Chacon2018
1961,1961,n̥ãhapã nawikihanũpɛ,they1659,false,expert,Chacon2018,,,Chacon2018
1962,1962,anʰana,they1651,false,expert,Chacon2018,,,Chacon2018
1963,1963,nʰaː,they1651,false,expert,Chacon2018,,,Chacon2018
1964,1964,hlienaha,they1655,false,expert,Chacon2018,,,Chacon2018
1965,1965,nʰaː,they1651,false,expert,Chacon2018,,,Chacon2018
1966,1966,ɐniparo,they1660,false,expert,Chacon2018,,,Chacon2018
1967,1967,makanɛ,thick1663,false,expert,Chacon2018,,,Chacon2018
1968,1968,makadaɽi,thick1663,false,expert,Chacon2018,,,Chacon2018
1969,1969,makadaɽi,thick1663,false,expert,Chacon2018,,,Chacon2018
1970,1970,hanuːnã,thick106,false,expert,Chacon2018,,,Chacon2018
1971,1971,matoledali,thick1661,false,expert,Chacon2018,,,Chacon2018
1972,1972,hipanadali ~ hipandadali,thick1662,false,expert,Chacon2018,,,Chacon2018
1973,1973,makane,thick1663,false,expert,Chacon2018,,,Chacon2018
1974,1974,hipanda,thick1662,false,expert,Chacon2018,,,Chacon2018
1975,1975,pɐniɾi,thick1669,false,expert,Chacon2018,,,Chacon2018
1976,1976,tsoːnẽ,thin1670,false,expert,Chacon2018,t s   o ː   n   ẽ   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -   -,,Chacon2018
1977,1977,haɽɛpapɛdaɽi,thin1671,false,expert,Chacon2018,,,Chacon2018
1978,1978,tsuːkatsani,thin1670,false,expert,Chacon2018,t s   u ː   k   a   t s   a   n   i   -   -   -   -   -   -   -   -   -   -   -   -,,Chacon2018
1979,1979,tsuaputse,thin1670,false,expert,Chacon2018,t s   u   a   p   u   t s   e   -   -   -   -   -   -   -   -   -   -   -   -   -,,Chacon2018
1980,1980,mãdeilinãtuki,thin1678,false,expert,Chacon2018,,,Chacon2018
1981,1981,mmatsiadali,thin107,false,expert,Chacon2018,,,Chacon2018
1982,1982,halitaːdali,thin1671,false,expert,Chacon2018,,,Chacon2018
1983,1983,tsoːkaidale,thin1670,false,expert,Chacon2018,t s   o ː   k   a   i   d   a   l   e   -   -   -   -   -   -   -   -   -   -   -,,Chacon2018
